time,frequency,confidence
0.000,329.548,0.810975
0.040,328.861,0.937708
0.080,329.867,0.973105
0.120,330.092,0.975519
0.160,329.493,0.963262
0.200,329.916,0.968937
0.240,329.660,0.962800
0.280,329.733,0.968787
0.320,330.002,0.971940
0.360,329.457,0.959655
0.400,329.890,0.971067
0.440,329.759,0.966987
0.480,329.686,0.965923
0.520,330.119,0.973260
0.560,329.899,0.968444
0.600,330.006,0.960345
0.640,329.707,0.961345
0.680,329.854,0.966055
0.720,329.605,0.958418
0.760,330.270,0.971525
0.800,330.139,0.968099
0.840,329.856,0.962836
0.880,330.336,0.963822
0.920,329.903,0.964712
0.960,329.924,0.956365
1.000,330.310,0.963457
1.040,329.904,0.965547
1.080,330.049,0.965282
1.120,330.136,0.972470
1.160,329.976,0.968632
1.200,329.870,0.966918
1.240,330.220,0.969435
1.280,329.815,0.961795
1.320,329.603,0.957672
1.360,329.966,0.968113
1.400,329.905,0.969160
1.440,329.862,0.967878
1.480,329.778,0.964100
1.520,329.955,0.966724
1.560,330.198,0.971754
1.600,330.270,0.968177
1.640,329.793,0.960514
1.680,260.789,0.642872
1.720,261.032,0.910859
1.760,262.051,0.952549
1.800,261.772,0.955610
1.840,261.917,0.960994
1.880,261.362,0.950052
1.920,262.080,0.964035
1.960,261.362,0.951535
2.000,261.204,0.944574
2.040,261.392,0.951655
2.080,261.907,0.961505
2.120,260.752,0.932775
2.160,261.820,0.960566
2.200,261.569,0.953540
2.240,261.238,0.948730
2.280,261.387,0.955174
2.320,260.927,0.940019
2.360,261.357,0.952821
2.400,261.249,0.947985
2.440,261.444,0.955678
2.480,261.355,0.955318
2.520,261.697,0.960416
2.560,261.457,0.955749
2.600,261.613,0.959204
2.640,261.462,0.954845
2.680,261.674,0.957772
2.720,261.537,0.956692
2.760,261.181,0.945591
2.800,261.267,0.943624
2.840,261.450,0.944911
2.880,261.310,0.944059
2.920,261.188,0.943048
2.960,261.139,0.942516
3.000,261.302,0.946776
3.040,261.180,0.943793
3.080,261.389,0.951520
3.120,261.376,0.953446
3.160,261.312,0.953075
3.200,261.309,0.951112
