time,frequency,confidence
0.000,547.126,0.141318
0.020,547.126,0.141318
0.040,547.126,0.141318
0.060,547.126,0.141318
0.080,547.126,0.141318
0.100,547.126,0.141318
0.120,547.126,0.141318
0.140,547.126,0.141318
0.160,547.126,0.141318
0.180,547.126,0.141318
0.200,547.126,0.141318
0.220,547.126,0.141318
0.240,547.126,0.141318
0.260,547.126,0.141318
0.280,547.126,0.141318
0.300,547.126,0.141318
0.320,547.126,0.141318
0.340,547.126,0.141318
0.360,547.126,0.141318
0.380,547.126,0.141318
0.400,547.126,0.141318
0.420,547.126,0.141318
0.440,547.126,0.141318
0.460,547.126,0.141318
0.480,547.126,0.141318
0.500,547.126,0.141318
0.520,547.126,0.141318
0.540,547.126,0.141318
0.560,547.126,0.141318
0.580,547.126,0.141318
0.600,547.126,0.141318
0.620,547.126,0.141318
0.640,547.126,0.141318
0.660,547.126,0.141318
0.680,547.126,0.141318
0.700,547.126,0.141318
0.720,547.126,0.141318
0.740,547.126,0.141318
0.760,547.126,0.141318
0.780,547.126,0.141318
0.800,547.126,0.141318
0.820,547.126,0.141318
0.840,547.126,0.141318
0.860,547.126,0.141318
0.880,547.126,0.141318
0.900,547.126,0.141318
0.920,547.126,0.141318
0.940,547.126,0.141318
0.960,547.126,0.141318
0.980,547.126,0.141318
1.000,547.126,0.141318
1.020,547.126,0.141318
1.040,547.126,0.141318
1.060,547.126,0.141318
1.080,547.126,0.141318
1.100,547.126,0.141318
1.120,547.126,0.141318
1.140,547.126,0.141318
1.160,547.126,0.141318
1.180,547.126,0.141318
1.200,547.126,0.141318
1.220,547.126,0.141318
1.240,547.126,0.141318
1.260,547.126,0.141318
1.280,547.126,0.141318
1.300,547.126,0.141318
1.320,547.126,0.141318
1.340,547.126,0.141318
1.360,547.126,0.141318
1.380,547.126,0.141318
1.400,547.126,0.141318
1.420,547.126,0.141318
1.440,547.126,0.141318
1.460,547.126,0.141318
1.480,547.126,0.141318
1.500,547.126,0.141318
1.520,547.126,0.141318
1.540,547.126,0.141318
1.560,547.126,0.141318
1.580,547.126,0.141318
1.600,547.126,0.141318
1.620,547.126,0.141318
1.640,547.126,0.141318
1.660,547.126,0.141318
1.680,547.126,0.141318
1.700,547.126,0.141318
1.720,547.126,0.141318
1.740,547.126,0.141318
1.760,553.052,0.157572
1.780,624.534,0.048307
1.800,349.163,0.062493
1.820,588.849,0.085856
1.840,176.971,0.035680
1.860,33.528,0.045510
1.880,40.191,0.047521
1.900,32.887,0.208988
1.920,36.390,0.068736
1.940,36.042,0.204049
1.960,85.715,0.016814
1.980,175.808,0.060621
2.000,176.839,0.079378
2.020,155.870,0.058714
2.040,402.351,0.023028
2.060,32.412,0.012977
2.080,100.214,0.011411
2.100,32.323,0.033993
2.120,271.919,0.365194
2.140,261.038,0.751176
2.160,261.254,0.909018
2.180,261.188,0.936091
2.200,261.064,0.914225
2.220,262.277,0.960590
2.240,262.263,0.960946
2.260,261.822,0.960361
2.280,261.740,0.959041
2.300,262.313,0.967153
2.320,262.083,0.961302
2.340,261.827,0.963874
2.360,262.282,0.967888
2.380,262.273,0.962706
2.400,261.534,0.949455
2.420,261.732,0.966261
2.440,261.835,0.964866
2.460,261.339,0.948827
2.480,261.274,0.950370
2.500,261.696,0.964485
2.520,261.720,0.965558
2.540,261.807,0.962803
2.560,261.168,0.950534
2.580,261.137,0.950346
2.600,261.548,0.964305
2.620,262.010,0.965887
2.640,261.780,0.960068
2.660,261.666,0.958248
2.680,261.886,0.960976
2.700,261.405,0.953887
2.720,261.680,0.920425
2.740,265.984,0.577854
2.760,262.921,0.865621
2.780,261.416,0.919191
2.800,260.877,0.912412
2.820,262.550,0.956880
2.840,262.476,0.958875
2.860,261.694,0.953687
2.880,261.787,0.960828
2.900,262.459,0.964618
2.920,261.970,0.962067
2.940,261.766,0.964394
2.960,262.242,0.967791
2.980,262.014,0.962358
3.000,261.431,0.949549
3.020,261.794,0.968098
3.040,261.841,0.964875
3.060,261.608,0.955078
3.080,261.460,0.954542
3.100,261.627,0.963213
3.120,261.676,0.964270
3.140,261.629,0.960544
3.160,261.135,0.950191
3.180,261.196,0.952204
3.200,261.685,0.965610
3.220,261.928,0.962322
3.240,261.684,0.955524
3.260,261.620,0.956954
3.280,261.838,0.959875
3.300,261.350,0.952997
3.320,261.285,0.930679
3.340,265.583,0.532824
3.360,262.949,0.828915
3.380,261.625,0.918481
3.400,260.968,0.906325
3.420,262.586,0.957453
3.440,262.444,0.958159
3.460,261.595,0.950503
3.480,261.670,0.960422
3.500,262.244,0.965696
3.520,261.956,0.961085
3.540,261.852,0.964551
3.560,262.102,0.967929
3.580,261.911,0.962340
3.600,261.628,0.951186
3.620,261.928,0.969861
3.640,261.842,0.965901
3.660,261.551,0.953930
3.680,261.384,0.952259
3.700,261.707,0.965400
3.720,261.749,0.964828
3.740,261.591,0.960513
3.760,261.178,0.950608
3.780,261.084,0.948327
3.800,261.704,0.966334
3.820,261.993,0.963408
3.840,261.638,0.956299
3.860,261.609,0.957038
3.880,261.771,0.960069
3.900,261.650,0.960515
3.920,261.554,0.960178
3.940,261.634,0.964215
3.960,261.520,0.962316
3.980,261.458,0.959803
4.000,261.694,0.964927
4.020,261.631,0.963938
4.040,261.632,0.965073
4.060,261.772,0.966144
4.080,261.682,0.966508
4.100,261.800,0.966010
4.120,261.884,0.966401
4.140,261.717,0.963913
4.160,261.857,0.967403
4.180,261.778,0.966144
4.200,261.788,0.965847
4.220,261.677,0.963014
4.240,261.854,0.966193
4.260,261.701,0.963512
4.280,261.725,0.962915
4.300,261.733,0.962599
4.320,261.703,0.962219
4.340,261.616,0.961823
4.360,261.515,0.957574
4.380,261.520,0.957958
4.400,261.514,0.957182
4.420,261.384,0.955229
4.440,261.386,0.955481
4.460,261.326,0.950755
4.480,261.401,0.953320
4.500,261.342,0.950377
4.520,261.575,0.930519
4.540,294.531,0.569252
4.560,295.992,0.873579
4.580,295.347,0.954507
4.600,294.836,0.963911
4.620,295.135,0.957538
4.640,294.687,0.970870
4.660,293.821,0.963901
4.680,293.935,0.965422
4.700,294.027,0.965563
4.720,294.109,0.969517
4.740,294.061,0.969012
4.760,294.135,0.970318
4.780,294.334,0.971102
4.800,294.329,0.973958
4.820,294.032,0.968700
4.840,293.549,0.956935
4.860,293.525,0.955776
4.880,293.977,0.972726
4.900,294.214,0.977310
4.920,293.614,0.968255
4.940,293.569,0.964331
4.960,293.895,0.973606
4.980,294.051,0.973970
5.000,294.100,0.972918
5.020,294.138,0.974964
5.040,293.934,0.972896
5.060,294.081,0.974088
5.080,293.811,0.969192
5.100,294.160,0.972727
5.120,294.295,0.976860
5.140,293.430,0.765998
5.160,292.556,0.778857
5.180,294.423,0.946505
5.200,294.759,0.957123
5.220,295.270,0.951158
5.240,294.753,0.970937
5.260,293.684,0.963711
5.280,293.820,0.964370
5.300,294.068,0.968732
5.320,294.076,0.970285
5.340,294.070,0.969040
5.360,294.225,0.970402
5.380,294.280,0.972203
5.400,294.411,0.976060
5.420,294.018,0.970800
5.440,293.231,0.949999
5.460,293.214,0.949181
5.480,293.848,0.974237
5.500,294.172,0.978120
5.520,293.486,0.966171
5.540,293.316,0.960172
5.560,293.921,0.973835
5.580,293.998,0.973832
5.600,294.087,0.974846
5.620,294.091,0.974541
5.640,293.785,0.970890
5.660,293.895,0.971844
5.680,293.830,0.969157
5.700,294.223,0.973754
5.720,294.270,0.977407
5.740,293.472,0.741501
5.760,292.764,0.756654
5.780,294.524,0.947457
5.800,294.696,0.956954
5.820,295.191,0.951002
5.840,294.751,0.970793
5.860,293.771,0.965665
5.880,293.891,0.965602
5.900,294.018,0.966348
5.920,294.059,0.969952
5.940,294.005,0.969018
5.960,294.109,0.969329
5.980,294.287,0.971589
6.000,294.433,0.976264
6.020,294.059,0.971543
6.040,293.216,0.949240
6.060,293.224,0.949717
6.080,293.924,0.974528
6.100,294.112,0.977563
6.120,293.415,0.964292
6.140,293.418,0.963452
6.160,293.830,0.973268
6.180,294.025,0.973424
6.200,294.099,0.974011
6.220,293.971,0.973827
6.240,293.741,0.970547
6.260,294.032,0.974356
6.280,294.022,0.972551
6.300,294.077,0.972961
6.320,294.037,0.974675
6.340,294.200,0.976233
6.360,294.087,0.974335
6.380,294.366,0.978836
6.400,294.115,0.976373
6.420,293.831,0.973360
6.440,293.753,0.972870
6.460,293.799,0.974217
6.480,293.864,0.976041
6.500,294.139,0.981081
6.520,294.041,0.980858
6.540,293.861,0.978931
6.560,293.661,0.976046
6.580,293.990,0.979437
6.600,293.980,0.981729
6.620,293.825,0.978517
6.640,293.585,0.975509
6.660,293.892,0.979315
6.680,294.206,0.981907
6.700,294.007,0.981542
6.720,293.602,0.975401
6.740,293.828,0.975176
6.760,294.272,0.981265
6.780,293.822,0.977465
6.800,293.755,0.976803
6.820,293.856,0.976857
6.840,293.828,0.976522
6.860,293.787,0.976832
6.880,294.118,0.978314
6.900,294.091,0.975966
6.920,294.384,0.961096
6.940,331.536,0.551943
6.960,331.863,0.898242
6.980,330.835,0.961878
7.000,330.067,0.959471
7.020,329.999,0.961812
7.040,329.529,0.956954
7.060,329.265,0.961228
7.080,329.657,0.971338
7.100,329.780,0.973854
7.120,329.776,0.974597
7.140,329.639,0.973232
7.160,330.099,0.979655
7.180,330.001,0.977266
7.200,330.163,0.977914
7.220,329.969,0.976704
7.240,330.202,0.982089
7.260,330.209,0.980865
7.280,329.232,0.963938
7.300,329.041,0.955948
7.320,329.420,0.969408
7.340,329.780,0.977926
7.360,329.906,0.977594
7.380,329.893,0.976617
7.400,329.670,0.969589
7.420,329.413,0.965501
7.440,329.758,0.975565
7.460,329.856,0.973724
7.480,329.679,0.969121
7.500,329.696,0.971292
7.520,329.445,0.961957
7.540,329.610,0.838494
7.560,339.470,0.639262
7.580,343.921,0.807492
7.600,346.771,0.897487
7.620,348.294,0.870639
7.640,349.502,0.941832
7.660,349.711,0.918776
7.680,349.582,0.954112
7.700,349.987,0.965324
7.720,348.741,0.930248
7.740,348.220,0.873247
7.760,350.333,0.936665
7.780,349.136,0.958593
7.800,349.032,0.965825
7.820,348.973,0.972762
7.840,348.545,0.960426
7.860,348.918,0.967126
7.880,349.164,0.966740
7.900,349.637,0.966516
7.920,349.544,0.969866
7.940,349.738,0.964212
7.960,349.050,0.966884
7.980,347.757,0.946910
