time,frequency,confidence
0.000,329.546,0.810975
0.040,328.861,0.937712
0.080,329.867,0.973107
0.120,330.092,0.975518
0.160,329.493,0.963259
0.200,329.916,0.968936
0.240,329.660,0.962801
0.280,329.733,0.968787
0.320,330.002,0.971938
0.360,329.457,0.959659
0.400,329.890,0.971067
0.440,329.759,0.966986
0.480,329.686,0.965928
0.520,330.119,0.973260
0.560,329.899,0.968441
0.600,330.007,0.960366
0.640,329.707,0.961383
0.680,329.854,0.966065
0.720,329.604,0.958425
0.760,330.269,0.971516
0.800,330.139,0.968087
0.840,329.855,0.962795
0.880,330.336,0.963876
0.920,329.903,0.964702
0.960,329.922,0.956252
1.000,330.310,0.963461
1.040,329.903,0.965550
1.080,330.050,0.965256
1.120,330.136,0.972437
1.160,329.976,0.968634
1.200,329.869,0.966913
1.240,330.220,0.969437
1.280,329.814,0.961806
1.320,329.604,0.957723
1.360,329.968,0.968118
1.400,329.905,0.969174
1.440,329.862,0.967894
1.480,329.778,0.964108
1.520,329.955,0.966713
1.560,330.198,0.971734
1.600,330.271,0.968211
1.640,329.792,0.960549
1.680,260.789,0.642894
1.720,261.032,0.910854
1.760,262.051,0.952548
1.800,261.772,0.955610
1.840,261.917,0.960994
1.880,261.362,0.950052
1.920,262.080,0.964036
1.960,261.362,0.951534
2.000,261.204,0.944577
2.040,261.392,0.951653
2.080,261.907,0.961506
2.120,260.752,0.932774
2.160,261.819,0.960563
2.200,261.569,0.953544
2.240,261.251,0.949136
2.280,261.479,0.957309
2.320,260.912,0.939534
2.360,261.354,0.952692
2.400,261.245,0.948154
2.440,261.459,0.955839
2.480,261.362,0.955392
2.520,261.697,0.960248
2.560,261.443,0.955487
2.600,261.606,0.959050
2.640,261.457,0.954696
2.680,261.678,0.957886
2.720,261.545,0.956842
2.760,261.173,0.945538
2.800,261.264,0.943744
2.840,261.460,0.945375
2.880,261.315,0.944126
2.920,261.203,0.943355
2.960,261.150,0.942776
3.000,261.286,0.946552
3.040,261.178,0.943837
3.080,261.372,0.951159
3.120,261.381,0.953378
3.160,261.300,0.952856
3.200,261.308,0.951457
3.240,261.282,0.948465
3.280,261.126,0.941156
3.320,261.169,0.945633
3.360,261.105,0.943579
3.400,261.060,0.940437
3.440,261.230,0.943725
3.480,261.266,0.946727
3.520,261.373,0.951647
3.560,261.285,0.951673
3.600,261.088,0.942260
3.640,261.338,0.940678
3.680,334.046,0.557170
3.720,331.502,0.938066
3.760,330.142,0.954516
3.800,329.124,0.939397
3.840,329.581,0.964457
3.880,329.423,0.954865
3.920,330.195,0.973576
3.960,329.925,0.969316
4.000,330.107,0.972300
4.040,328.861,0.938483
4.080,329.793,0.972005
4.120,330.039,0.974203
4.160,329.477,0.964229
4.200,329.960,0.969547
4.240,329.654,0.962403
4.280,329.716,0.967135
4.320,329.942,0.971209
4.360,329.502,0.960930
4.400,329.833,0.970822
4.440,329.760,0.968067
4.480,329.814,0.967118
4.520,330.077,0.972373
4.560,329.975,0.968767
4.600,330.020,0.959593
4.640,328.947,0.926747
4.680,337.158,0.642727
4.720,331.587,0.934121
4.760,330.135,0.955555
4.800,329.190,0.941499
4.840,329.663,0.966502
4.880,329.439,0.955923
4.920,330.109,0.972306
4.960,330.032,0.969970
5.000,330.158,0.972848
5.040,328.896,0.939328
5.080,329.872,0.973635
5.120,330.085,0.974498
5.160,329.542,0.964886
5.200,330.010,0.971090
5.240,329.601,0.961631
5.280,329.616,0.965799
5.320,329.965,0.971490
5.360,329.499,0.960250
5.400,329.895,0.971729
5.440,329.690,0.966144
5.480,329.642,0.964415
5.520,330.087,0.972257
5.560,329.925,0.968854
5.600,329.840,0.956327
5.640,329.134,0.934775
5.680,260.485,0.603495
5.720,261.037,0.913508
5.760,262.076,0.952369
5.800,261.724,0.954626
5.840,262.040,0.962115
5.880,261.394,0.951916
5.920,262.125,0.962735
5.960,261.400,0.951628
6.000,261.183,0.944100
6.040,261.444,0.951200
6.080,261.898,0.958116
6.120,260.734,0.931595
6.160,262.071,0.960017
6.200,261.621,0.950387
6.240,261.356,0.944859
6.280,261.576,0.955229
6.320,260.981,0.939650
6.360,261.334,0.950392
6.400,261.241,0.945620
6.440,261.560,0.957524
6.480,261.340,0.955212
6.520,261.730,0.960066
6.560,261.462,0.956514
6.600,261.637,0.959434
6.640,261.491,0.955134
6.680,261.549,0.956066
6.720,261.492,0.955682
6.760,261.273,0.946493
6.800,261.294,0.945194
6.840,261.476,0.946863
6.880,261.288,0.942848
6.920,261.175,0.943215
6.960,261.159,0.943968
7.000,261.326,0.947789
7.040,261.167,0.944156
7.080,261.380,0.950979
7.120,261.360,0.953740
7.160,261.305,0.950528
7.200,261.277,0.950916
7.240,261.436,0.953120
7.280,261.141,0.943448
7.320,260.994,0.940816
7.360,261.027,0.941237
7.400,261.181,0.944626
7.440,261.164,0.942003
7.480,261.303,0.947592
