time,frequency,confidence
0.000,547.126,0.141318
0.020,547.126,0.141318
0.040,547.126,0.141318
0.060,547.126,0.141318
0.080,547.126,0.141318
0.100,547.126,0.141318
0.120,547.126,0.141318
0.140,547.126,0.141318
0.160,547.126,0.141318
0.180,547.126,0.141318
0.200,547.126,0.141318
0.220,547.126,0.141318
0.240,547.126,0.141318
0.260,547.126,0.141318
0.280,116.668,0.021983
0.300,162.591,0.105734
0.320,454.514,0.411279
0.340,442.593,0.916572
0.360,441.549,0.964428
0.380,440.414,0.952408
0.400,440.370,0.945080
0.420,440.595,0.954244
0.440,439.958,0.952069
0.460,440.595,0.963421
0.480,440.813,0.956820
0.500,440.480,0.957702
0.520,440.344,0.967624
0.540,440.117,0.966861
0.560,440.068,0.966042
0.580,440.388,0.968839
0.600,440.635,0.969510
0.620,440.697,0.968722
0.640,440.948,0.971476
0.660,441.655,0.965241
0.680,441.071,0.970039
0.700,440.767,0.970361
0.720,440.903,0.969690
0.740,440.928,0.968087
0.760,440.814,0.968576
0.780,440.767,0.970570
0.800,440.074,0.961174
0.820,439.729,0.949151
0.840,440.029,0.958388
0.860,440.063,0.958969
0.880,441.018,0.970028
0.900,440.936,0.968386
0.920,440.903,0.969684
0.940,440.160,0.963239
0.960,440.076,0.960606
0.980,440.640,0.964330
1.000,440.808,0.966222
1.020,440.759,0.966861
1.040,440.962,0.969326
1.060,440.867,0.966620
1.080,441.008,0.967212
1.100,441.144,0.967044
1.120,440.120,0.947747
1.140,440.471,0.950984
1.160,440.926,0.964219
1.180,440.494,0.966054
1.200,440.400,0.958293
1.220,444.132,0.771303
1.240,442.696,0.914831
1.260,441.427,0.964397
1.280,440.425,0.952332
1.300,440.392,0.947049
1.320,440.603,0.954820
1.340,440.044,0.953418
1.360,440.625,0.962708
1.380,440.964,0.955651
1.400,440.739,0.958927
1.420,440.566,0.967092
1.440,440.176,0.965792
1.460,440.058,0.964777
1.480,440.598,0.969148
1.500,441.564,0.970317
1.520,440.414,0.929754
1.540,420.913,0.778677
1.560,417.810,0.905371
1.580,416.847,0.928627
1.600,417.423,0.923727
1.620,417.444,0.923787
1.640,417.104,0.936596
1.660,416.307,0.938647
1.680,416.815,0.935362
1.700,416.727,0.945813
1.720,416.034,0.895929
1.740,416.108,0.933637
1.760,415.557,0.919596
1.780,416.003,0.923756
1.800,416.473,0.899182
1.820,416.611,0.914577
1.840,417.708,0.749461
1.860,334.336,0.406153
1.880,329.535,0.762423
1.900,331.877,0.868422
1.920,331.342,0.908282
1.940,329.298,0.889198
1.960,330.153,0.912059
1.980,331.074,0.896233
2.000,330.250,0.856066
2.020,329.939,0.832757
2.040,330.244,0.796791
2.060,414.179,0.521844
2.080,330.490,0.643327
2.100,413.436,0.525380
2.120,329.136,0.539013
2.140,410.248,0.505272
2.160,396.802,0.693453
2.180,394.797,0.894234
2.200,396.378,0.901326
2.220,393.184,0.892840
2.240,393.920,0.882753
2.260,394.117,0.889903
2.280,395.347,0.847577
2.300,393.729,0.873584
2.320,395.441,0.854142
2.340,395.162,0.810292
2.360,396.355,0.825954
2.380,397.065,0.774529
2.400,396.547,0.760807
2.420,396.716,0.700917
2.440,331.463,0.771131
2.460,350.280,0.486290
2.480,351.825,0.853735
2.500,352.739,0.879235
2.520,350.475,0.895673
2.540,348.631,0.858227
2.560,348.455,0.881973
2.580,351.975,0.861224
2.600,348.619,0.846269
2.620,349.640,0.814976
2.640,349.903,0.789892
2.660,350.194,0.784953
2.680,351.167,0.828022
2.700,349.129,0.813491
2.720,351.888,0.783913
2.740,346.565,0.629345
2.760,333.101,0.663315
2.780,331.068,0.777115
2.800,333.684,0.888833
2.820,331.493,0.887247
2.840,330.089,0.875828
2.860,329.837,0.905532
2.880,332.302,0.867831
2.900,334.644,0.907078
2.920,332.934,0.766808
2.940,334.636,0.769638
2.960,334.649,0.802604
2.980,332.861,0.712384
3.000,335.044,0.771915
3.020,333.422,0.809326
3.040,334.575,0.683158
3.060,333.630,0.858391
3.080,332.748,0.821472
3.100,333.531,0.727323
3.120,333.865,0.900878
3.140,331.545,0.792505
3.160,332.786,0.898032
3.180,332.764,0.785747
3.200,331.521,0.857417
3.220,331.272,0.893784
3.240,330.468,0.861130
3.260,330.862,0.927946
3.280,330.411,0.904122
3.300,330.071,0.910589
3.320,330.287,0.941016
3.340,330.643,0.908515
3.360,331.364,0.934600
3.380,330.360,0.917728
3.400,330.476,0.911502
3.420,330.121,0.909250
3.440,330.261,0.900413
3.460,331.784,0.923707
3.480,330.266,0.907005
3.500,330.490,0.887952
3.520,331.620,0.871230
3.540,331.963,0.765515
3.560,333.905,0.768963
3.580,334.108,0.644848
3.600,334.378,0.642428
3.620,339.816,0.427224
3.640,339.241,0.365261
3.660,332.921,0.418977
3.680,332.711,0.336694
3.700,331.129,0.712199
3.720,330.207,0.843313
3.740,331.748,0.930887
3.760,330.650,0.954257
3.780,328.904,0.921740
3.800,330.397,0.948491
3.820,330.774,0.958636
3.840,330.133,0.947071
3.860,330.270,0.943803
3.880,330.894,0.914669
3.900,330.108,0.907886
3.920,330.907,0.916981
3.940,330.053,0.878843
3.960,329.359,0.913705
3.980,326.311,0.688481
4.000,294.377,0.755528
4.020,294.253,0.936199
4.040,294.437,0.946055
4.060,294.225,0.942143
4.080,294.182,0.938020
4.100,294.116,0.945821
4.120,294.546,0.967686
4.140,294.312,0.970235
4.160,294.101,0.969929
4.180,294.984,0.968456
4.200,294.471,0.960173
4.220,294.066,0.941629
4.240,294.074,0.942844
4.260,293.615,0.922489
4.280,293.064,0.869496
4.300,249.982,0.559157
4.320,247.919,0.884975
4.340,247.404,0.888987
4.360,247.208,0.891285
4.380,247.126,0.885840
4.400,246.407,0.860892
4.420,246.416,0.864119
4.440,246.963,0.894738
4.460,246.344,0.885551
4.480,246.207,0.896424
4.500,247.009,0.905864
4.520,247.698,0.913597
4.540,247.292,0.918568
4.560,246.540,0.891805
4.580,247.093,0.764958
4.600,288.884,0.605311
4.620,293.863,0.889270
4.640,294.448,0.907704
4.660,294.529,0.907939
4.680,294.487,0.912126
4.700,294.369,0.917665
4.720,294.694,0.930181
4.740,294.555,0.916428
4.760,294.720,0.916071
4.780,295.393,0.914878
4.800,294.374,0.905543
4.820,293.819,0.885541
4.840,293.122,0.828326
4.860,293.160,0.854384
4.880,292.158,0.661745
4.900,258.793,0.653911
4.920,260.582,0.831143
4.940,264.416,0.838499
4.960,261.176,0.870861
4.980,260.790,0.848941
5.000,264.108,0.822915
5.020,261.318,0.856757
5.040,260.779,0.871433
5.060,263.597,0.888176
5.080,263.776,0.851060
5.100,262.225,0.873914
5.120,263.037,0.914717
5.140,263.696,0.887095
5.160,261.817,0.891839
5.180,259.791,0.904862
5.200,263.296,0.815273
5.220,260.976,0.665136
5.240,219.963,0.732619
5.260,220.473,0.811498
5.280,220.337,0.863811
5.300,220.608,0.844080
5.320,220.493,0.825231
5.340,221.169,0.838443
5.360,220.942,0.859753
5.380,220.773,0.817293
5.400,220.799,0.894783
5.420,220.881,0.903562
5.440,220.330,0.890444
5.460,221.135,0.890742
5.480,220.425,0.925966
5.500,220.406,0.922151
5.520,220.661,0.922390
5.540,220.455,0.921619
5.560,219.912,0.912375
5.580,220.089,0.912258
5.600,220.509,0.913629
5.620,220.215,0.924053
5.640,220.684,0.912188
5.660,220.293,0.919125
5.680,220.227,0.927172
5.700,220.223,0.923367
5.720,220.714,0.896614
5.740,220.457,0.919150
5.760,220.181,0.926951
5.780,220.188,0.918820
5.800,219.944,0.900863
5.820,220.513,0.921215
5.840,220.313,0.903514
5.860,220.595,0.907405
5.880,220.244,0.923638
5.900,219.887,0.919221
5.920,219.964,0.901432
5.940,220.622,0.891453
5.960,220.107,0.929514
5.980,220.478,0.920225
6.000,220.223,0.889375
6.020,220.421,0.925131
6.040,220.019,0.916022
6.060,219.993,0.902827
6.080,220.558,0.905473
6.100,220.058,0.905585
6.120,220.341,0.897110
6.140,220.523,0.863782
6.160,292.845,0.661746
6.180,294.048,0.881156
6.200,294.320,0.873290
6.220,294.928,0.854789
6.240,294.672,0.877780
6.260,293.963,0.877447
6.280,294.748,0.903744
6.300,293.921,0.876745
6.320,294.517,0.895852
6.340,295.005,0.872705
6.360,294.484,0.839115
6.380,293.291,0.815924
6.400,293.402,0.778228
6.420,293.512,0.800814
6.440,290.912,0.718694
6.460,262.706,0.692413
6.480,261.944,0.851019
6.500,263.200,0.906889
6.520,262.726,0.863789
6.540,262.896,0.854239
6.560,263.639,0.876810
6.580,262.807,0.854842
6.600,263.202,0.867056
6.620,262.945,0.897660
6.640,263.345,0.838815
6.660,263.679,0.884657
6.680,262.634,0.911134
6.700,263.003,0.852275
6.720,263.321,0.858741
6.740,260.553,0.783793
6.760,288.341,0.572089
6.780,294.812,0.820598
6.800,293.799,0.777130
6.820,293.671,0.795501
6.840,294.737,0.842157
6.860,293.758,0.817302
6.880,293.873,0.856697
6.900,294.401,0.832375
6.920,293.916,0.859782
6.940,293.855,0.818165
6.960,294.920,0.835652
6.980,293.075,0.813257
7.000,293.176,0.832480
7.020,293.462,0.811896
7.040,292.937,0.811391
7.060,293.415,0.835042
7.080,293.623,0.752026
7.100,293.382,0.770174
7.120,294.667,0.771217
7.140,294.319,0.814984
7.160,294.239,0.842460
7.180,294.180,0.818165
7.200,293.629,0.799689
7.220,293.225,0.812968
7.240,293.827,0.799148
7.260,292.981,0.777516
7.280,293.801,0.702035
7.300,294.598,0.657588
7.320,293.148,0.687431
7.340,294.887,0.684361
7.360,295.817,0.494622
7.380,291.714,0.466779
7.400,350.910,0.637677
7.420,349.933,0.676375
7.440,352.721,0.767437
7.460,349.112,0.697789
7.480,296.417,0.504838
7.500,298.051,0.629574
7.520,347.347,0.398903
7.540,293.139,0.473192
7.560,296.516,0.507671
7.580,295.605,0.502297
7.600,293.568,0.643346
7.620,296.726,0.612277
7.640,295.246,0.575041
7.660,297.964,0.649829
7.680,302.292,0.465866
7.700,331.402,0.663135
7.720,334.028,0.835767
7.740,333.085,0.834646
7.760,330.431,0.699454
7.780,329.847,0.509132
7.800,329.087,0.550081
7.820,335.227,0.770122
7.840,334.937,0.745078
7.860,331.233,0.512745
7.880,297.123,0.538806
7.900,333.391,0.532507
7.920,333.157,0.437620
7.940,294.941,0.529902
7.960,333.107,0.417889
7.980,293.956,0.507584
