time,frequency,confidence
0.000,547.126,0.141318
0.020,547.126,0.141318
0.040,547.126,0.141318
0.060,547.126,0.141318
0.080,547.126,0.141318
0.100,547.126,0.141318
0.120,547.126,0.141318
0.140,547.126,0.141318
0.160,547.126,0.141318
0.180,547.126,0.141318
0.200,547.126,0.141318
0.220,547.126,0.141318
0.240,547.126,0.141318
0.260,547.126,0.141318
0.280,547.126,0.141318
0.300,547.126,0.141318
0.320,547.126,0.141318
0.340,547.126,0.141318
0.360,547.126,0.141318
0.380,547.126,0.141318
0.400,547.126,0.141318
0.420,547.126,0.141318
0.440,547.126,0.141318
0.460,547.126,0.141318
0.480,547.126,0.141318
0.500,547.126,0.141318
0.520,547.126,0.141318
0.540,547.126,0.141318
0.560,547.126,0.141318
0.580,547.126,0.141318
0.600,547.126,0.141318
0.620,547.126,0.141318
0.640,547.126,0.141318
0.660,547.126,0.141318
0.680,547.126,0.141318
0.700,547.126,0.141318
0.720,547.126,0.141318
0.740,547.126,0.141318
0.760,547.126,0.141318
0.780,547.126,0.141318
0.800,547.126,0.141318
0.820,547.126,0.141318
0.840,547.126,0.141318
0.860,547.126,0.141318
0.880,547.126,0.141318
0.900,547.126,0.141318
0.920,547.126,0.141318
0.940,547.126,0.141318
0.960,547.126,0.141318
0.980,547.126,0.141318
1.000,547.126,0.141318
1.020,547.126,0.141318
1.040,547.126,0.141318
1.060,547.126,0.141318
1.080,547.126,0.141318
1.100,547.126,0.141318
1.120,547.126,0.141318
1.140,547.126,0.141318
1.160,547.126,0.141318
1.180,303.871,0.023178
1.200,466.953,0.047378
1.220,33.813,0.068383
1.240,32.207,0.035991
1.260,1756.938,0.012056
1.280,32.160,0.041891
1.300,34.888,0.214969
1.320,34.358,0.273944
1.340,1842.239,0.039619
1.360,1911.445,0.009571
1.380,1201.962,0.015079
1.400,1126.107,0.022753
1.420,34.036,0.014602
1.440,1174.858,0.015977
1.460,161.338,0.037754
1.480,35.700,0.017188
1.500,945.961,0.019255
1.520,946.248,0.052960
1.540,32.287,0.021682
1.560,35.345,0.116651
1.580,35.147,0.025031
1.600,32.102,0.010065
1.620,32.232,0.027130
1.640,32.341,0.015292
1.660,32.314,0.034196
1.680,32.641,0.034224
1.700,589.656,0.043640
1.720,176.684,0.026803
1.740,174.947,0.044252
1.760,1158.719,0.023151
1.780,31.973,0.142756
1.800,32.704,0.015427
1.820,33.282,0.020157
1.840,1776.897,0.030633
1.860,1850.629,0.016593
1.880,1190.367,0.021575
1.900,38.236,0.005595
1.920,32.361,0.005560
1.940,34.467,0.033691
1.960,32.075,0.010762
1.980,32.461,0.033728
2.000,33.405,0.177086
2.020,32.373,0.027405
2.040,124.222,0.045205
2.060,455.097,0.024021
2.080,33.303,0.016125
2.100,1825.809,0.014142
2.120,1823.077,0.046249
2.140,276.516,0.200733
2.160,259.700,0.725821
2.180,261.434,0.876216
2.200,261.048,0.919409
2.220,260.398,0.925912
2.240,262.240,0.955571
2.260,262.148,0.958392
2.280,261.548,0.955006
2.300,261.298,0.948689
2.320,261.872,0.961414
2.340,261.838,0.957476
2.360,261.281,0.948737
2.380,262.152,0.963365
2.400,262.225,0.964283
2.420,261.335,0.946568
2.440,261.496,0.953993
2.460,261.764,0.960437
2.480,261.016,0.939511
2.500,260.877,0.934237
2.520,261.374,0.948492
2.540,261.817,0.961977
2.560,261.868,0.959648
2.580,261.000,0.940750
2.600,260.822,0.930707
2.620,261.510,0.958189
2.640,261.892,0.961804
2.660,261.714,0.959803
2.680,261.462,0.952724
2.700,261.682,0.957735
2.720,261.244,0.949029
2.740,261.249,0.951103
2.760,261.403,0.955335
2.780,261.241,0.951298
2.800,260.500,0.943983
2.820,261.009,0.867458
2.840,260.721,0.925309
2.860,260.826,0.926193
2.880,260.469,0.917209
2.900,261.441,0.935437
2.920,262.153,0.961428
2.940,261.935,0.961440
2.960,261.077,0.947455
2.980,261.451,0.954492
3.000,262.146,0.963949
3.020,261.455,0.953969
3.040,261.666,0.960056
3.060,261.987,0.962707
3.080,261.519,0.954697
3.100,261.188,0.945315
3.120,261.595,0.958735
3.140,261.214,0.948652
3.160,260.779,0.929907
3.180,261.164,0.948156
3.200,261.368,0.953729
3.220,261.624,0.957922
3.240,261.401,0.948235
3.260,260.862,0.936371
3.280,261.303,0.949370
3.300,261.736,0.960578
3.320,261.879,0.960690
3.340,261.506,0.955130
3.360,261.705,0.959816
3.380,261.485,0.956435
3.400,261.065,0.944220
3.420,261.306,0.950782
3.440,261.468,0.956952
3.460,261.042,0.945013
3.480,260.292,0.895498
3.500,260.415,0.900264
3.520,260.970,0.929611
3.540,260.526,0.915443
3.560,261.180,0.906983
3.580,262.106,0.962095
3.600,261.754,0.958175
3.620,261.176,0.946232
3.640,261.430,0.956191
3.660,262.086,0.963382
3.680,261.572,0.957951
3.700,261.548,0.958345
3.720,262.115,0.964847
3.740,261.860,0.960998
3.760,261.189,0.947089
3.780,261.535,0.955042
3.800,261.222,0.949581
3.820,260.945,0.937115
3.840,261.020,0.939806
3.860,261.220,0.949176
3.880,261.724,0.956633
3.900,261.552,0.955006
3.920,261.060,0.938097
3.940,261.220,0.949235
3.960,261.548,0.956712
3.980,261.950,0.962128
4.000,261.546,0.955670
4.020,261.503,0.956247
4.040,261.565,0.954660
4.060,261.072,0.943653
4.080,261.147,0.944736
4.100,261.411,0.956643
4.120,261.092,0.945330
4.140,260.388,0.937386
4.160,292.907,0.452082
4.180,295.540,0.777213
4.200,295.692,0.933048
4.220,294.472,0.966874
4.240,295.465,0.963927
4.260,295.071,0.971034
4.280,293.570,0.957585
4.300,293.573,0.958021
4.320,294.008,0.964791
4.340,293.764,0.966513
4.360,294.048,0.968110
4.380,294.192,0.972458
4.400,294.002,0.966348
4.420,294.461,0.972243
4.440,293.810,0.958150
4.460,293.018,0.922827
4.480,293.801,0.958267
4.500,293.793,0.970020
4.520,294.139,0.971934
4.540,293.717,0.968826
4.560,293.299,0.962240
4.580,293.734,0.967734
4.600,293.849,0.971740
4.620,293.974,0.972259
4.640,294.169,0.973810
4.660,293.856,0.972887
4.680,293.868,0.972370
4.700,294.075,0.973270
4.720,293.947,0.973939
4.740,293.939,0.970943
4.760,293.882,0.971509
4.780,294.052,0.973744
4.800,294.677,0.975247
4.820,296.257,0.919002
4.840,331.434,0.684442
4.860,331.692,0.910472
4.880,330.641,0.962358
4.900,330.112,0.958951
4.920,329.885,0.931993
4.940,329.397,0.930286
4.960,329.128,0.947473
4.980,329.713,0.956228
5.000,329.929,0.960448
5.020,329.521,0.957851
5.040,329.499,0.965178
5.060,330.314,0.967314
5.080,330.307,0.968071
5.100,330.172,0.967732
5.120,330.048,0.969391
5.140,330.312,0.966083
5.160,329.681,0.953703
5.180,328.883,0.942029
5.200,328.860,0.937040
5.220,329.640,0.960263
5.240,329.936,0.969279
5.260,330.046,0.977003
5.280,330.217,0.974217
5.300,329.776,0.963930
5.320,329.709,0.967947
5.340,329.850,0.967438
5.360,329.773,0.964821
5.380,329.837,0.970058
5.400,329.486,0.959951
5.420,329.472,0.958477
5.440,329.895,0.967957
5.460,329.950,0.972795
5.480,329.807,0.970392
5.500,329.619,0.958347
5.520,329.581,0.954869
5.540,329.669,0.967473
5.560,330.043,0.973528
5.580,330.088,0.970554
5.600,329.612,0.963500
5.620,329.239,0.954177
5.640,329.704,0.966669
5.660,330.278,0.971047
5.680,330.386,0.973919
5.700,329.960,0.967473
5.720,330.051,0.963435
5.740,329.648,0.951252
5.760,329.701,0.960714
5.780,329.897,0.963423
5.800,329.756,0.955408
5.820,329.741,0.962994
5.840,330.002,0.966360
5.860,329.662,0.962420
5.880,329.879,0.965479
5.900,330.136,0.972342
5.920,330.190,0.971088
5.940,329.967,0.967252
5.960,329.728,0.952399
5.980,329.937,0.958482
6.000,330.446,0.972800
6.020,330.612,0.967563
6.040,330.415,0.960518
6.060,329.996,0.964839
6.080,329.665,0.953912
6.100,330.004,0.960989
6.120,331.017,0.967431
6.140,329.321,0.801497
6.160,295.953,0.588638
6.180,295.545,0.844692
6.200,295.780,0.935853
6.220,294.784,0.969300
6.240,295.360,0.969198
6.260,295.068,0.974730
6.280,293.651,0.964204
6.300,293.581,0.964531
6.320,294.081,0.971928
6.340,294.044,0.972568
6.360,294.014,0.971675
6.380,294.086,0.973778
6.400,294.142,0.973310
6.420,294.300,0.975106
6.440,293.919,0.967625
6.460,293.193,0.951239
6.480,293.563,0.959338
6.500,293.763,0.969981
6.520,294.266,0.978192
6.540,293.636,0.969960
6.560,293.263,0.963446
6.580,293.751,0.972368
6.600,293.884,0.973547
6.620,294.091,0.974108
6.640,294.116,0.974781
6.660,293.798,0.972661
6.680,294.030,0.975919
6.700,293.945,0.972972
6.720,293.950,0.973426
6.740,293.897,0.973982
6.760,293.998,0.973827
6.780,294.142,0.973761
6.800,294.406,0.978103
6.820,294.154,0.978078
6.840,293.828,0.974939
6.860,293.830,0.973923
6.880,293.803,0.974035
6.900,293.625,0.970370
6.920,293.995,0.976320
6.940,293.977,0.976708
6.960,293.946,0.976610
6.980,293.797,0.975201
7.000,293.916,0.975763
7.020,294.079,0.978742
7.040,293.651,0.973452
7.060,293.653,0.973501
7.080,293.969,0.977106
7.100,294.092,0.979653
7.120,293.882,0.976627
7.140,293.594,0.972679
7.160,293.816,0.977085
7.180,294.135,0.980983
7.200,293.891,0.978038
7.220,293.843,0.976154
7.240,293.755,0.975210
7.260,293.807,0.975241
7.280,293.769,0.975093
7.300,293.883,0.975617
7.320,293.828,0.974570
7.340,293.896,0.975277
7.360,293.865,0.975049
7.380,293.828,0.972349
7.400,293.675,0.970905
7.420,293.776,0.972502
7.440,293.965,0.975397
7.460,293.968,0.974669
7.480,292.442,0.670507
7.500,263.297,0.629723
7.520,261.784,0.904508
7.540,260.755,0.883405
7.560,261.290,0.901621
7.580,262.280,0.960924
7.600,262.043,0.961132
7.620,261.384,0.948257
7.640,261.471,0.955063
7.660,262.242,0.963698
7.680,261.582,0.953532
7.700,261.449,0.954138
7.720,262.182,0.963667
7.740,261.856,0.960883
7.760,260.992,0.937314
7.780,261.661,0.956801
7.800,261.357,0.951534
7.820,261.047,0.935770
7.840,261.162,0.942519
7.860,261.284,0.951042
7.880,261.849,0.958649
7.900,261.691,0.958782
7.920,261.044,0.938196
7.940,261.137,0.947164
7.960,261.539,0.957910
