time,frequency,confidence
0.000,494.289,0.706538
0.020,493.296,0.933509
0.040,493.145,0.935786
0.060,493.954,0.964104
0.080,494.048,0.972150
0.100,494.033,0.973295
0.120,494.449,0.973933
0.140,494.209,0.973020
0.160,493.991,0.973139
0.180,494.050,0.974531
0.200,494.542,0.977563
0.220,494.111,0.972327
0.240,493.732,0.966370
0.260,493.891,0.971330
0.280,494.063,0.968164
0.300,494.015,0.967545
0.320,494.483,0.974521
0.340,493.784,0.971387
0.360,493.811,0.968959
0.380,493.954,0.968289
0.400,493.801,0.969250
0.420,493.711,0.971067
0.440,494.174,0.971361
0.460,494.434,0.972919
0.480,493.880,0.899086
0.500,520.227,0.686527
0.520,521.294,0.923383
0.540,523.553,0.922465
0.560,524.169,0.932765
0.580,524.552,0.947687
0.600,524.197,0.953969
0.620,524.783,0.959657
0.640,524.082,0.956216
0.660,523.833,0.956983
0.680,524.158,0.956474
0.700,524.302,0.963579
0.720,524.526,0.962651
0.740,524.747,0.964644
0.760,524.364,0.957942
0.780,523.952,0.954996
0.800,525.028,0.963727
0.820,525.552,0.959858
0.840,524.866,0.961325
0.860,525.029,0.962827
0.880,525.187,0.963084
0.900,524.417,0.961849
0.920,524.918,0.961946
0.940,524.150,0.959071
0.960,524.110,0.960478
0.980,524.383,0.578898
1.000,329.916,0.818371
1.020,330.341,0.955616
1.040,330.135,0.970115
1.060,329.383,0.951598
1.080,329.589,0.958782
1.100,329.711,0.961878
1.120,329.887,0.965848
1.140,329.736,0.964741
1.160,329.263,0.958292
1.180,329.157,0.951014
1.200,329.837,0.964837
1.220,330.014,0.965991
1.240,329.411,0.954452
1.260,329.326,0.951887
1.280,329.643,0.955105
1.300,329.641,0.956497
1.320,329.540,0.953486
1.340,329.378,0.946837
1.360,329.144,0.936864
1.380,329.597,0.956804
1.400,329.557,0.952769
1.420,329.623,0.957614
1.440,329.235,0.946313
1.460,329.389,0.950213
1.480,329.308,0.937736
1.500,391.534,0.728880
1.520,392.962,0.936453
1.540,393.007,0.963783
1.560,393.153,0.970738
1.580,392.950,0.966904
1.600,392.288,0.961030
1.620,392.116,0.962651
1.640,392.082,0.958073
1.660,392.013,0.956858
1.680,392.245,0.957934
1.700,391.971,0.950411
1.720,391.901,0.948883
1.740,392.328,0.954471
1.760,392.219,0.950174
1.780,392.112,0.952318
1.800,392.082,0.950537
1.820,392.224,0.948237
1.840,392.464,0.953130
1.860,392.244,0.947113
1.880,391.934,0.944073
1.900,391.643,0.938219
1.920,392.200,0.948739
1.940,392.400,0.947311
1.960,392.293,0.944351
1.980,392.112,0.943326
2.000,391.692,0.933802
2.020,391.535,0.926026
2.040,391.792,0.939116
2.060,391.846,0.941414
2.080,392.070,0.943613
2.100,392.150,0.946913
2.120,391.776,0.940022
2.140,391.691,0.943139
2.160,391.717,0.944529
2.180,391.740,0.944032
2.200,391.946,0.948134
2.220,391.939,0.946878
2.240,391.721,0.942374
2.260,392.091,0.951927
2.280,391.831,0.948806
2.300,391.831,0.947474
2.320,391.728,0.943461
2.340,391.610,0.942123
2.360,392.023,0.952506
2.380,391.886,0.944884
2.400,391.268,0.924085
2.420,391.223,0.924539
2.440,391.308,0.927065
2.460,391.246,0.915104
2.480,397.263,0.191014
2.500,494.323,0.707450
2.520,493.303,0.932104
2.540,493.148,0.935631
2.560,493.945,0.964297
2.580,494.038,0.972035
2.600,494.045,0.973289
2.620,494.450,0.973893
2.640,494.196,0.972611
2.660,493.997,0.972984
2.680,494.058,0.974370
2.700,494.534,0.977456
2.720,494.113,0.972312
2.740,493.746,0.966440
2.760,493.901,0.971424
2.780,494.049,0.968105
2.800,494.023,0.967578
2.820,494.480,0.974411
2.840,493.773,0.971312
2.860,493.811,0.968967
2.880,493.963,0.968337
2.900,493.794,0.969011
2.920,493.698,0.970924
2.940,494.176,0.971377
2.960,494.413,0.973086
2.980,493.842,0.902911
3.000,520.061,0.673262
3.020,521.268,0.923169
3.040,523.559,0.922370
3.060,524.160,0.932631
3.080,524.567,0.947695
3.100,524.191,0.953913
3.120,524.783,0.959652
3.140,524.083,0.956197
3.160,523.831,0.956964
3.180,524.157,0.956446
3.200,524.300,0.963496
3.220,524.526,0.962621
3.240,524.749,0.964615
3.260,524.368,0.957962
3.280,523.953,0.955016
